year,escapement,smolts,recruits,age2,age3,age4,age5,expR,runsize,harvest
1992,7103,2139935,8752,47,131,213,41,0.315787529,10380,3277
1993,8512,1739888,7507,41,109,182,32,0.272549184,11700,3188
1994,9807,1606821,10094,53,149,253,39,0.158973398,11660,1853
1995,6286,1936762,9235,49,143,231,46,0.371460267,10000,3714
1996,6754,1683593,8340,42,128,213,45,0.216535164,8620,1866
1997,5733,1802812,5662,28,78,144,24,0.319189888,8420,2687
1998,6404,1991351,5270,25,83,129,27,0.31879558,9400,2996
1999,6456,1565868,6882,36,108,172,30,0.24234929,8520,2064
2000,5053,1162104,5475,29,86,134,26,0.302102929,7240,2187
2001,4210,915890,3870,21,55,96,21,0.3166342,6160,1950
2002,4165,1106449,5304,22,78,130,21,0.28205704,5800,1635
2003,4568,844760,5162,27,79,128,23,0.253656619,6120,1552
2004,3067,517230,1831,8,28,45,10,0.363877323,4820,1753
2005,2765,741626,1892,7,27,48,9,0.3911291,4540,1775
2006,3419,1035877,2383,11,35,60,13,0.281882455,4760,1341
2007,2617,749361,2747,16,40,68,15,0.289019217,3680,1063
2008,1576,516609,2149,8,31,53,12,0.256955025,2120,544
2009,1642,466150,2161,8,30,53,9,0.247105693,2180,538
2010,1607,307617,1697,7,25,42,7,0.313292648,2340,733
2011,1448,322789,1544,8,23,39,7,0.396893715,2400,952
2012,1512,356205,1623,8,23,40,8,0.280254638,2100,588
2013,1423,374535,1457,8,22,36,7,0.274242024,1960,537
2014,1249,239993,1193,5,17,29,6,0.238803976,1640,391
2015,1078,316301,1379,6,21,34,8,0.300360615,1540,462
2016,1063,215025,1267,6,19,31,6,0.282092183,1480,417
2017,1014,264701,1078,5,15,26,4,0.243639609,1340,326
2018,1002,222252,1230,6,19,29,4,0.205224382,1260,258
2019,876,267167,1393,7,20,35,6,0.316285444,1280,404
2020,867,284492,1679,5,25,42,9,0.277612426,1200,333
2021,729,229434,1036,6,15,27,4,0.371552405,1160,431
