year,escapement,smolts,recruits,age2,age3,age4,age5,expR,runsize,harvest
1992,17206,5956267,26446,135,401,674,158,0.340268603,26080,8874
1993,18752,5701241,25568,113,378,661,131,0.257077903,25240,6488
1994,18321,4160618,22918,130,357,576,121,0.260661401,24780,6459
1995,17070,6665425,26275,129,397,666,134,0.300435664,24400,7330
1996,17927,4703255,26032,120,386,667,119,0.300849376,25640,7713
1997,17443,5543908,24599,129,372,611,147,0.33168843,26100,8657
1998,17349,4120298,22815,105,349,570,100,0.291334378,24480,7131
1999,17141,4079015,22816,106,351,572,104,0.341778773,26040,8899
2000,18525,4353261,23271,119,357,573,128,0.275254724,25560,7035
2001,17184,5066215,23138,99,356,564,112,0.274941879,23700,6516
2002,15803,3469989,23399,131,312,579,119,0.33433155,23740,7937
2003,15367,3336534,21507,87,338,562,103,0.318882501,22560,7193
2004,16351,4327727,24599,117,360,595,122,0.297651121,23280,6929
2005,14721,3900091,23662,106,354,574,103,0.32535843,21820,7099
2006,15555,2755850,19672,91,297,485,110,0.321367162,22920,7365
2007,16582,4908491,23132,157,348,567,115,0.277158103,22940,6358
2008,15246,4611666,25693,103,392,633,105,0.333108106,22860,7614
2009,17030,5148871,24051,118,346,620,114,0.259568025,23000,5970
2010,13055,2947919,22270,117,332,538,107,0.371757709,20780,7725
2011,17049,4725537,24249,101,364,616,129,0.281871229,23740,6691
2012,17623,5125319,24634,113,350,614,155,0.272404257,24220,6597
2013,16143,3930060,23333,100,368,576,128,0.303014405,23160,7017
2014,14900,3357182,22500,104,353,550,97,0.340166738,22580,7680
2015,15725,2973181,22011,109,331,565,108,0.329720548,23460,7735
2016,17641,4904498,25115,146,370,636,127,0.274072075,24300,6659
2017,16527,4769992,24371,131,355,604,99,0.307375864,23860,7333
2018,14946,3504875,22942,118,348,581,116,0.352992479,23100,8154
2019,15824,6025421,24109,113,359,620,126,0.319697902,23260,7436
2020,18948,4762425,26510,155,396,661,132,0.221531395,24340,5392
2021,15674,4618821,24296,135,357,599,86,0.34253487,23840,8166
